Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Florida,Orange County Public Schools,September 2023,Banned,Administration
Snow Falling on Cedars,"Guterson, David",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
A Map of the World,"Hamilton, Jane",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
We'll Always Have Summer,"Han, Jenny",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The World's Strongest Librarian: A Book Lover's Adventures,"Hanagarne, Joshua",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Fly Away,"Hannah, Kristin",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Art of Fielding,"Harbach, Chad",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Jude the Obscure,"Hardy, Thomas",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Shadow of Night,"Harkness, Deborah",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Book of Life,"Harkness, Deborah",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Chocolat,"Harris, Joanne",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Girl with No Shadow (published in UK as The Lollipop Shoes),"Harris, Joanne",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Silent Wife,"Harrison, A. S. A.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Plainsong,"Haruf, Kent",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Best 100 Poems of Gwen Harwood,"Harwood, Gwen",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Necropolis,"Hawk, Jordan L.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Second Skin,"Hawkes, John",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Girl on the Train,"Hawkins, Paula",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Catch-22,"Heller, Joseph",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Collected Plays,"Hellman, Lillian",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Demian: Die Geschichte von Emil Sinclairs Jugend,"Hesse, Hermann",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Demian: The Story of Emil Sinclair's Youth,"Hesse, Hermann",,,Unknown,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Siddhartha,"Hesse, Hermann",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Siddhartha (Dual-Language edition),"Hesse, Hermann",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Skin Tight,"Hiaasen, Carl",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Skinny Dip,"Hiaasen, Carl",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Island,"Hilderbrand, Elin",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Rethinking Normal: A Memoir in Transition,"Hill, Katie Rain",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Here Comes Santa Claus,"Hill, Sandra","Holmes, Kate; Jensen, Trish",,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Royal Assassin,"Hobb, Robin",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Dress Lodger,"Holman, Sheri",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Watch Me,"Holt, A. J.",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
All Your Perfects,"Hoover, Colleen",,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
Confess,"Hoover, Colleen",,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
Heart Bones,"Hoover, Colleen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Hopeless,"Hoover, Colleen",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
It Ends With Us,"Hoover, Colleen",,,,Florida,Orange County Public Schools,September 2023,Banned,Administration
It Starts With Us,"Hoover, Colleen",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Layla,"Hoover, Colleen",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Losing Hope,"Hoover, Colleen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
November 9,"Hoover, Colleen",,,,Florida,Orange County Public Schools,September 2023,Banned,Administration
Regretting You,"Hoover, Colleen",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Ugly Love,"Hoover, Colleen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Verity,"Hoover, Colleen",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Burned (EH),"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Collateral,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Crank,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Fallout,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Identical,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Impulse,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Love Lies Beneath,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
People Kill People,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Perfect (EH),"Hopkins, Ellen",,,,Florida,Orange County Public Schools,June 2024,Banned,Administration
Tilt (EH),"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Tricks,"Hopkins, Ellen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
I Never,"Hopper, Laura",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Changeling,"Horsley, Kate",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Thousand Splendid Suns,"Hosseini, Khaled",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Kite Runner,"Hosseini, Khaled",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Taken at Dusk,"Hunter, C. C.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Brave New World,"Huxley, Aldous",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
M Butterfly,"Hwang, David Henry",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Icy Sparks,"Hyman Rubio, Gwyn",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
A Widow for One Year,"Irving, John",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The World According to Garp,"Irving, John",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Never Let Me Go,"Ishiguro, Kazuo",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Bit of a Blur: the Autobiography,"James, Alex",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades of Grey,"James, E. L.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades Darker,"James, E.L.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades Freed,"James, E.L.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Green River Killer: A True Detective Story,"Jensen, Jeff",,"Case, Jonathan",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
No One to Trust,"Johansen, Iris",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Box in the Woods,"Johnson, Maureen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Hand on the Wall,"Johnson, Maureen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Vanishing Stair,"Johnson, Maureen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Truly Devious,"Johnson, Maureen",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Graduate (The Play),"Johnson, Terry","Webb, Charles",,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Choice Words: How Our Language Affects Children's Learning,"Johnston, Peter H.",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Modern Love: Revised and Updated: True Stories of Love Loss, and Redemption","Jones, Daniel","Rannells, Andrew; Waldman, Ayelet; Rosenthal, Amy Krouse; Chambers, Veronica; Copaken, Deborah; Korelitz, Jean Hanff; Ellis, Trey; Hood, Ann; Kahn, Howie; Hung, Mindy; Cheney, Terri; Leary, Ann; Smith, Larry",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Parasite: A Graphic Novel in Storyboards,"Joon Ho, Bong",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Recognition of Sakuntala: A Play In Seven Acts,Kalidasa,,,"Johnson, W.J.",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Scent of Danger,"Kane, Andrea",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Confessions of a Not It Girl,"Kantor, Melissa",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Big Bad Wolf Tells All,"Kauffman, Donna",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Milk and Honey,"Kaur, Rupi",,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
The Sun and Her Flowers,"Kaur, Rupi",,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
Summer in the City of Roses,"Keil, Michelle Ruiz",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Street Dreams,"Kellerman, Faye",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Mr. Ding’s Chicken Feet: On a Slow Boat from Shanghai to Texas,"Kendall, Gillian",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
You: A Novel of Dark Obsession,"Kepnes, Caroline",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
